,chid,size,time_length,year
162,6.0,3.0,49.0,2014.0
163,7.0,3.0,46.0,2014.0
164,8.0,2.0,25.0,2014.0
165,9.0,2.0,34.0,2014.0
166,10.0,6.0,73.0,2014.0
167,11.0,3.0,41.0,2014.0
168,12.0,2.0,23.0,2014.0
169,13.0,17.0,134.0,2014.0
170,14.0,3.0,41.0,2014.0
171,15.0,2.0,27.0,2014.0
172,16.0,3.0,45.0,2014.0
173,17.0,4.0,81.0,2014.0
174,18.0,2.0,30.0,2014.0
175,19.0,2.0,22.0,2014.0
176,20.0,2.0,26.0,2014.0
177,21.0,4.0,75.0,2014.0
178,22.0,5.0,89.0,2014.0
179,23.0,2.0,15.0,2014.0
180,24.0,3.0,68.0,2014.0
181,25.0,3.0,73.0,2014.0
182,26.0,2.0,82.0,2014.0
183,27.0,2.0,72.0,2014.0
184,28.0,2.0,31.0,2014.0
185,29.0,2.0,29.0,2014.0
186,30.0,2.0,64.0,2014.0
187,31.0,2.0,26.0,2014.0
188,32.0,4.0,44.0,2014.0
189,33.0,4.0,58.0,2014.0
190,34.0,5.0,51.0,2014.0
191,35.0,13.0,159.0,2014.0
192,36.0,2.0,49.0,2014.0
193,37.0,2.0,35.0,2014.0
194,38.0,2.0,32.0,2014.0
195,39.0,2.0,23.0,2014.0
196,40.0,7.0,74.0,2014.0
197,41.0,2.0,35.0,2014.0
198,42.0,5.0,56.0,2014.0
199,43.0,2.0,30.0,2014.0
200,44.0,3.0,40.0,2014.0
201,45.0,2.0,31.0,2014.0
202,46.0,2.0,26.0,2014.0
203,47.0,2.0,32.0,2014.0
204,48.0,4.0,69.0,2014.0
205,49.0,2.0,19.0,2014.0
206,50.0,2.0,30.0,2014.0
207,51.0,2.0,26.0,2014.0
208,52.0,2.0,26.0,2014.0
209,53.0,2.0,33.0,2014.0
210,54.0,3.0,61.0,2014.0
211,55.0,2.0,30.0,2014.0
212,0.0,78.0,190.0,2002.0
213,1.0,12.0,162.0,2002.0
214,2.0,2.0,18.0,2002.0
215,3.0,2.0,44.0,2002.0
216,4.0,8.0,147.0,2002.0
217,5.0,3.0,37.0,2002.0
218,6.0,2.0,30.0,2002.0
219,7.0,2.0,41.0,2002.0
220,8.0,3.0,48.0,2002.0
221,9.0,4.0,127.0,2002.0
222,10.0,2.0,33.0,2002.0
223,11.0,2.0,12.0,2002.0
224,12.0,2.0,25.0,2002.0
225,13.0,2.0,27.0,2002.0
226,14.0,5.0,127.0,2002.0
227,15.0,6.0,93.0,2002.0
228,16.0,2.0,26.0,2002.0
229,17.0,2.0,18.0,2002.0
230,18.0,2.0,26.0,2002.0
231,19.0,2.0,33.0,2002.0
232,20.0,2.0,22.0,2002.0
233,21.0,3.0,68.0,2002.0
234,22.0,9.0,152.0,2002.0
235,23.0,27.0,110.0,2002.0
236,24.0,2.0,36.0,2002.0
237,25.0,5.0,76.0,2002.0
238,26.0,2.0,18.0,2002.0
239,27.0,2.0,25.0,2002.0
240,28.0,2.0,25.0,2002.0
241,29.0,2.0,26.0,2002.0
242,30.0,3.0,53.0,2002.0
243,31.0,4.0,51.0,2002.0
244,32.0,3.0,52.0,2002.0
245,33.0,2.0,29.0,2002.0
246,34.0,2.0,24.0,2002.0
247,35.0,4.0,54.0,2002.0
248,36.0,3.0,51.0,2002.0
249,37.0,2.0,19.0,2002.0
250,38.0,2.0,24.0,2002.0
251,0.0,3.0,66.0,1998.0
